CATEGORY,,INDEPENDENT VARIABLES,,,,,,,DEPENDENT VARIABLES,,,,
6,27,2.197,0.889,0.222,0,1.098612289,8.16,0.99248,1.163499,-0.00298,-0.007622,0,0.010683
7,27,2.303,0.9,0.2,0,1.386294361,8.33,1.03938,1.248408,0.005993,0.015112,0,0.011871
8,27,2.197,0.889,0.222,0,1.386294361,9.02,1.06312,1.330659,0.019237,0.050902,2.543689,0.010276
1,28,2.079,0.875,0,1,1.609437912,5.06,0.99157,1.127038,0.010617,0.023301,-0.315789,0.016451
2,28,2.079,0.875,0,1,1.609437912,5.81,0.97154,0.990944,0.013269,0.029942,0.307692,0.016506
3,28,2.079,0.875,0,1,1.791759469,6.81,1.01323,0.825186,0.012536,0.025741,0.029412,0.014459
4,28,2.303,0.9,0.2,1,1.945910149,6.42,1.14416,0.760516,0.033781,0.065331,1.971429,0.013134
5,28,2.197,0.889,0.111,1,1.791759469,8.04,0.93064,0.859438,0.004702,0.009118,-0.855769,0.014814
6,28,2.079,0.875,0.125,1,1.609437912,6.99,1.11904,0.997047,0.007836,0.01611,0.6,0.014191
7,28,1.792,0.833,0.167,0,1.386294361,6.54,1.14093,0.878678,0.012065,0.024876,0.875,0.016665
8,28,2.565,0.923,0.308,0,1.386294361,2.04,1.11826,0.742617,0.004517,0.008384,-0.666667,0.009829
1,31,2.303,0.9,0.3,0,1.386294361,6.67,1.14677,9.166882,0.019146,0.180547,-0.64881,0.018187
2,31,2.485,0.917,0.25,0,1.609437912,6.5,0.99356,3.227797,0.013238,0.085732,-0.305085,0.016986
3,31,2.398,0.909,0.273,0,1.386294361,8.03,1.04596,3.063834,0.016629,0.080356,0.609756,0.017641
4,31,2.485,0.917,0.25,0,1.386294361,8.29,1.08801,4.372072,0.031006,0.170222,0.939394,0.016257
5,31,2.565,0.923,0.231,0,1.386294361,8.62,0.98698,6.930251,0.020829,0.160827,-0.273438,0.015567
6,31,2.565,0.923,0.308,0,1.609437912,8.96,0.9932,9.191674,0.024508,0.26354,0.27957,0.015203
7,31,2.398,0.909,0.364,0,1.609437912,9.61,1.0609,12.590935,0.031485,0.451873,0.310924,0.019901
8,31,2.398,0.909,0.364,0,1.386294361,10.39,0.85245,18.152668,0.036415,0.746313,0.230769,0.018588
1,33,2.398,0.818,0.273,0,1.609437912,6.2,0.9765,0.319639,0.077775,0.172733,0.12978,0.017273
2,33,2.398,0.818,0.364,0,1.386294361,5.67,0.97561,0.658302,0.046001,0.116018,-0.277949,0.012331
3,33,2.303,0.9,0.4,0,1.386294361,6,1.00102,0.318835,0.032741,0.090052,-0.134943,0.013693
4,33,2.303,0.9,0.4,0,1.386294361,6.48,1.26607,0.278324,0.05026,0.137693,0.747126,0.012076
5,33,2.485,0.917,0.333,0,1.945910149,5.44,0.98198,0.536973,0.045177,0.121322,0.031955,0.01282
6,33,2.485,0.917,0.333,0,1.791759469,6.44,1.07686,0.565577,0.028761,0.075666,-0.290528,0.01144
7,33,2.485,0.917,0.417,0,1.945910149,5.56,1.02952,0.427194,0.06449,0.164296,1.424904,0.014701
8,33,2.485,0.917,0.333,0,1.945910149,4.53,1.01424,0.512529,0.042092,0.107244,-0.284807,0.010994
1,34,2.079,0.75,0.125,0,1.386294361,17.09,0.97063,1.020432,0.082767,0.206614,1.61039,0.0159
2,34,2.079,0.75,0.125,0,1.386294361,16.25,0.94578,0.922865,0.033564,0.075981,-0.606965,0.015554
3,34,2.197,0.778,0.222,0,1.386294361,15.44,0.94528,0.989281,0.037059,0.083971,0.101266,0.012857
4,34,2.303,0.8,0.3,0,1.609437912,14.85,0.94776,0.8968,0.043738,0.101286,0.172414,0.01187
5,34,2.079,0.75,0.375,0,1.791759469,13.43,0.92392,1.093318,0.037333,0.078057,-0.215686,0.014153
6,34,2.079,0.75,0.375,0,1.609437912,14.43,0.88865,0.958857,0.088521,0.204145,1.825,0.011183
7,34,2.079,0.75,0.25,0,1.609437912,14.22,0.88145,0.750665,0.056133,0.112695,-0.287611,0.013137
8,34,2.079,0.75,0.25,0,1.609437912,15.22,0.97851,0.746579,0.006944,0.010928,-0.900621,0.012283
1,35,1.792,0.833,0.167,1,1.098612289,7.4,1.19283,0.688023,0.040498,0.08123,3.692308,0.014838
2,35,1.792,0.833,0.167,1,1.098612289,8.4,1.20618,0.617166,0.046511,0.088863,0.245095,0.015193
3,35,1.792,0.833,0.167,1,1.098612289,9.4,1.06896,0.592645,0.02437,0.042945,-0.499676,0.015382
4,35,1.792,0.833,0.167,1,1.098612289,10.4,1.17309,0.698029,0.035476,0.06773,0.700568,0.013097
5,35,1.792,0.833,0.167,1,1.098612289,11.4,1.11306,0.798795,0.023454,0.047533,-0.276558,0.01517
6,35,1.946,0.857,0.286,1,1.386294361,10.67,1.07737,0.762027,0.019799,0.040136,-0.117647,0.01163
7,35,1.946,0.857,0.286,1,1.386294361,11.67,1.12878,0.737152,0.061032,0.119989,2.260606,0.012173
8,35,1.946,0.857,0.286,1,1.386294361,12.67,1.03864,0.773219,0.02176,0.042771,-0.63197,0.00915
1,36,1.946,0.571,0.143,0,1.098612289,16.14,1.13776,1.852439,0.078584,0.261874,0.022556,0.024206
2,36,1.946,0.571,0.143,0,1.098612289,17.14,1.22186,2.196467,0.082287,0.285512,0.128676,0.02406
3,36,1.946,0.571,0.143,0,1.098612289,18.14,1.35378,2.316906,0.078311,0.292046,0.055375,0.024691
4,36,1.946,0.571,0.143,0,1.386294361,16.62,1.27867,2.552332,0.069696,0.272778,-0.046296,0.022668
5,36,2.079,0.625,0.25,0,1.386294361,15.5,1.08931,3.596644,0.070974,0.321567,0.200647,0.023114
6,36,2.197,0.667,0.333,0,1.386294361,14.74,1.09381,3.405204,0.041489,0.203956,-0.350404,0.022424
7,36,2.197,0.667,0.333,0,1.386294361,15.74,1.09402,3.472092,0.065562,0.320453,0.589212,0.028301
8,36,2.197,0.667,0.333,0,1.386294361,16.74,1.07735,3.824388,0.070056,0.363348,0.127937,0.022987
1,37,2.079,0.625,0.125,0,1.098612289,9.82,0.96585,1.492185,0.029449,0.076933,1.588235,0.0114
2,37,2.079,0.625,0.125,0,1.098612289,10.82,0.9665,1.317246,0.02638,0.067526,-0.136364,0.013704
3,37,2.079,0.75,0.25,0,1.609437912,7.52,0.85467,1.542969,0.024472,0.062674,-0.131579,0.013083
4,37,1.946,0.714,0.286,0,1.098612289,8.14,0.85399,1.10827,0.0699,0.179526,1.818182,0.012357
5,37,1.792,0.833,0.333,1,1.098612289,7,0.92872,0.783559,0.091264,0.192315,0.236559,0.01345
6,37,1.792,0.833,0.333,1,1.098612289,8,0.97541,0.689936,0.054934,0.101537,-0.426087,0.013062
7,37,1.946,0.857,0.429,1,1.098612289,7.81,1.15018,0.656913,0.102056,0.184783,1.045455,0.015588
8,37,2.079,0.875,0.375,1,1.386294361,6.99,1.03201,0.63286,0.028236,0.048227,-0.718519,0.011646
1,38,2.398,0.818,0,1,1.386294361,7.85,0.99588,1.082593,0.048617,0.112972,1.321053,0.015631
2,38,2.565,0.769,0.154,1,1.386294361,5.88,0.68575,0.676427,0.023002,0.045317,-0.390023,0.014098
3,38,2.485,0.75,0.167,1,1.386294361,6.52,0.98217,0.683756,0.028436,0.051306,0.063197,0.014454
4,38,2.485,0.833,0.167,1,1.386294361,7.52,0.98003,0.709591,0.019539,0.035348,-0.325175,0.014229
5,38,2.485,0.833,0.167,1,1.386294361,8.52,1.01115,0.71193,0.031374,0.057721,0.590674,0.018049
6,38,2.565,0.846,0.231,1,1.609437912,8.81,0.97386,0.752719,0.022739,0.042397,-0.283388,0.017737
7,38,2.485,0.917,0.25,1,1.609437912,10.21,1.01331,0.735264,0.04749,0.09023,1.1,0.028202
8,38,2.485,0.917,0.25,1,1.386294361,11.21,0.97252,0.715503,0.056595,0.10666,0.188312,0.020824
1,39,2.079,0.75,0.125,1,1.098612289,10.05,0.8631,1.576708,0.029926,0.080129,1.206897,0.01111
2,39,2.197,0.778,0.111,1,1.386294361,8.59,0.87157,0.894294,0.037421,0.08412,0.34375,0.011081
3,39,1.792,0.667,0,1,1.098612289,7.88,0.85385,1.277289,0.037541,0.08199,-0.046512,0.011332
4,39,1.946,0.714,0.143,1,1.098612289,7.74,0.85433,0.88521,0.113825,0.243001,2.378049,0.011597
5,39,1.946,0.714,0.143,1,1.098612289,8.74,0.78665,0.999363,0.032147,0.064739,-0.685921,0.012694
6,39,2.079,0.75,0.25,1,1.098612289,8.64,0.89193,1.208172,0.027572,0.060063,-0.068966,0.01265
7,39,2.079,0.75,0.25,1,1.098612289,9.64,0.92724,1.335923,0.035129,0.083153,0.37037,0.01276
8,39,2.197,0.778,0.333,1,1.098612289,9.56,0.90988,1.194778,0.04493,0.105982,0.351351,0.009015
1,40,2.303,0.8,0,1,1.609437912,11.56,0.94096,0.591176,0.038094,0.061578,-0.024194,0.015275
2,40,2.197,0.778,0.111,1,1.609437912,7.3,1.10267,0.590179,0.040613,0.069701,0.14876,0.015537
3,40,2.197,0.778,0.111,0,1.386294361,6.85,0.97321,0.67177,0.041098,0.070007,0.043165,0.015206
4,40,2.079,0.75,0.125,0,1.386294361,6.71,1.00118,0.686322,0.042806,0.076709,0.137931,0.016071
5,40,2.197,0.778,0.222,0,1.609437912,6.95,0.95519,0.692147,0.041157,0.07151,-0.054545,0.017407
6,40,2.079,0.75,0.25,0,1.386294361,8.3,0.99673,0.74776,0.030359,0.054958,-0.217949,0.014185
7,40,2.079,0.75,0.25,0,1.386294361,9.3,0.9596,0.960223,0.037704,0.070168,0.237705,0.016279
8,40,2.197,0.778,0.333,1,1.609437912,7.2,0.97662,0.949691,0.042099,0.08714,0.251656,0.015129
1,41,2.079,0.625,0,1,1.098612289,1,1.05469,1.100278,0.012879,0,0,0.011434
2,41,2.079,0.625,0,1,1.098612289,2,0.82481,0.897746,0.012012,0.044154,-0.25,0.011978
3,41,2.079,0.625,0,1,1.098612289,3,0.92894,0.753525,0.001424,0.001061,-0.983333,0.013098
4,41,2.197,0.667,0.111,1,1.098612289,3.63,0.99959,0.911433,0.005648,0.005321,6,0.012765
5,41,2.303,0.8,0.2,1,1.386294361,4.19,1.02434,1.073418,0.00137,-0.01163,0,0.014229
6,41,2.303,0.8,0.2,0,1.386294361,4.78,0.94368,1.3574,0.014735,0.048912,0,0.015174
7,41,2.398,0.818,0.182,0,1.386294361,5.33,0.94861,1.194347,0.023193,0.079871,1.132075,0.018547
8,41,2.303,0.7,0.2,0,1.386294361,6.33,0.88115,1.497237,0.017836,0.060621,-0.123894,0.013002
1,42,2.079,0.875,0.25,0,1.386294361,9,0.66307,0.735655,0.024829,0.045321,0.058252,0.015746
2,42,2.079,0.875,0.25,0,1.386294361,10,0.7106,0.860404,0.025247,0.046229,0.036697,0.016536
3,42,2.079,0.875,0.25,0,1.386294361,11,0.72757,0.826913,0.023432,0.043922,-0.026549,0.016284
4,42,2.303,0.9,0.2,0,1.386294361,9.19,0.73544,0.800393,0.024804,0.047039,0.145455,0.017247
5,42,2.303,0.9,0.3,0,1.609437912,9.68,0.75772,0.819019,0.025816,0.048869,0.095238,0.017971
6,42,2.303,0.9,0.3,0,1.609437912,10.68,0.76787,0.811267,0.020129,0.038101,-0.166667,0.015534
7,42,2.485,0.917,0.417,0,1.609437912,9.64,0.58364,0.63465,0.011254,0.019949,-0.243478,0.014005
8,42,2.398,0.909,0.364,0,1.386294361,9.52,0.81749,0.644874,0.018735,0.032341,0.632184,0.012651
1,43,2.398,0.909,0.091,0,1.609437912,11.51,0.85246,0.863236,0.037698,0.087375,-0.255121,0.013526
2,43,2.303,0.9,0.1,0,1.386294361,11.28,1.0296,1.036768,0.043262,0.096466,0.465696,0.012539
3,43,2.197,0.889,0.111,0,1.386294361,10.82,0.7763,1.175889,0.011332,0.02709,-0.733067,0.012173
4,43,2.197,0.889,0.222,0,1.386294361,8.69,0.8619,1.206174,0.032432,0.080456,1.764706,0.01427
5,43,2.079,0.875,0.25,0,1.386294361,10.31,0.80455,1.184372,0.037105,0.090008,0.134752,0.015576
6,43,2.079,0.875,0.25,0,1.098612289,10.63,0.75413,1.280593,0.016516,0.039945,-0.5625,0.014796
7,43,2.197,0.889,0.333,0,1.386294361,10.39,0.70407,1.278785,0.043556,0.107563,1.514286,0.013286
8,43,2.079,0.875,0.375,0,1.386294361,9.41,0.6841,1.390072,0.044837,0.113602,0.028409,0.013124
1,45,2.079,0.875,0.25,0,1.386294361,12.84,0.97002,1.135711,-0.026144,-0.055835,-0.464286,0.013943
2,45,1.946,0.857,0.143,1,1.386294361,14.57,1.01504,1.546712,0.033742,0.08415,1.566667,0.015307
3,45,2.079,0.75,0.125,0,1.386294361,13.75,1.06057,1.408499,0.027752,0.076141,0.142857,0.014927
4,45,2.197,0.889,0.333,0,1.386294361,9.47,0.95363,0.854945,0.079165,0.18824,0.985716,0.015812
5,45,2.079,0.875,0.5,0,1.098612289,5.43,1.03052,0.923086,0.003404,0.007313,-0.812441,0.018074
6,45,2.079,0.875,0.5,0,1.386294361,6.43,1.01867,0.881995,0.027614,0.063875,-0.173619,0.01596
7,45,2.079,0.875,0.5,0,1.098612289,7.43,0.96297,0.89203,0.03243,0.075508,-0.187721,0.018465
8,45,1.946,0.857,0.429,0,1.098612289,8.14,1.02579,0.920125,0.032257,0.075594,3.181818,0.01447
1,46,2.303,0.9,0.2,1,1.098612289,9.59,1.04343,0.631178,0.030416,0.060574,0.328,0.012523
2,46,2.303,0.9,0.2,1,1.098612289,10.59,1.10148,0.574722,0.039255,0.081567,0.379518,0.014296
3,46,2.303,0.9,0.1,1,1.098612289,10.43,1.02796,0.503195,0.055326,0.107756,0.351811,0.016366
4,46,2.485,0.917,0.167,1,1.609437912,9.61,1.03734,0.429823,0.048583,0.086974,-0.064595,0.013837
5,46,2.485,0.917,0.167,1,1.386294361,10.61,0.99636,0.474747,0.040101,0.069932,-0.143553,0.018427
6,46,2.398,0.909,0.273,1,1.386294361,10.89,1.04971,0.477254,0.03084,0.054068,-0.185484,0.017452
7,46,2.398,0.909,0.273,1,1.386294361,11.89,1.03396,0.481252,0.051326,0.08989,0.965347,0.025592
8,46,2.485,0.917,0.25,1,1.386294361,11.84,0.82729,0.423669,0.045973,0.077627,0.078086,0.01579
1,47,2.079,0.625,0.125,1,1.098612289,12.07,0.84911,0.034685,0.133822,0.205044,0.157495,0.048572
2,47,2.079,0.625,0.125,1,1.098612289,13.07,0.83313,0.041386,0.146025,0.233046,0.121311,0.043252
3,47,2.197,0.667,0.222,1,1.386294361,12.61,0.87523,0.159668,0.138254,0.235277,-0.013158,0.039275
4,47,2.197,0.667,0.222,1,1.386294361,13.61,0.90072,0.154437,0.157981,0.297498,0.268148,0.03759
5,47,2.485,0.583,0.167,1,1.609437912,11.17,0.83638,0.209533,0.136409,0.252223,-0.147196,0.038284
6,47,2.565,0.615,0.231,1,1.098612289,11.25,0.86631,0.296726,0.117092,0.22497,-0.138356,0.040085
7,47,2.639,0.857,0.357,0,1.386294361,5.42,0.93438,0.793256,0.133797,0.346435,0.575517,0.04473
8,47,2.565,0.846,0.308,0,1.386294361,6.42,0.97027,0.67581,0.248998,0.75599,1.385469,0.034717
1,48,2.398,0.818,0.091,1,1.386294361,12.01,1.13129,0.895163,0.035813,0.077925,-0.238889,0.02163
2,48,2.197,0.889,0.111,1,1.386294361,13.24,1.0691,0.625803,0.038036,0.072013,0.043796,0.020949
3,48,2.398,0.909,0.091,1,1.386294361,10.34,0.96436,0.53393,0.022524,0.035709,-0.300699,0.014609
4,48,2.398,0.818,0.273,1,1.386294361,9.68,1.09266,0.575987,0.022555,0.038064,0.47,0.013136
5,48,2.485,0.833,0.25,1,1.609437912,8.33,1.04005,0.658583,0.021691,0.037971,-0.027211,0.01389
6,48,2.398,0.818,0.273,0,1.609437912,8.36,0.99805,0.683951,0.004068,0.00736,-0.811189,0.011601
7,48,2.398,0.818,0.273,0,1.791759469,8.63,1.16801,0.643989,0.033265,0.060124,6.851852,0.016359
8,48,2.398,0.818,0.273,0,1.609437912,9.98,1.05545,0.63782,0.044601,0.079586,0.330189,0.014207
1,49,1.946,0.571,0,0,1.098612289,2.4,0.95285,0.60275,0.001797,0.00277,0,0.012059
2,49,1.946,0.571,0,0,1.098612289,3.4,1.03362,0.519866,0.018833,0.030025,11,0.014566
3,49,1.946,0.571,0,0,1.098612289,4.4,1.05853,0.489975,0.022453,0.034013,0.333333,0.015276
4,49,2.079,0.625,0.125,0,1.098612289,4.82,1.0976,0.396857,0.018865,0.025042,-0.125,0.014096
5,49,2.079,0.625,0.125,0,1.098612289,5.82,1.08406,0.328555,0.019289,0.024609,0.119048,0.017711
6,49,2.079,0.625,0.125,0,1.098612289,6.07,1.11622,0.346264,0.017789,0.022785,0.085106,0.016989
7,49,2.079,0.625,0.125,0,1.386294361,6.14,1.16006,0.27717,0.021861,0.029323,0.568627,0.022373
8,49,2.079,0.625,0.125,0,1.386294361,6.92,1.05671,0.281262,0.020895,0.028555,0.15,0.014246
1,50,2.197,0.889,0.222,0,1.791759469,3.3,0.92092,0.612363,0.019347,0.033253,-0.159091,0.016198
2,50,2.197,0.889,0.222,0,1.791759469,4.3,0.88291,0.709457,0.084704,0.157034,3.675676,0.016917
3,50,2.197,0.889,0.222,0,1.791759469,4.91,0.88403,0.605679,0.053692,0.099075,-0.323699,0.018698
4,50,2.197,0.889,0.222,0,1.609437912,5.91,1.12539,0.587814,0.036252,0.064901,-0.324786,0.017296
5,50,2.197,0.889,0.222,0,1.609437912,6.91,0.94301,0.751575,0.020953,0.039445,-0.417722,0.019776
6,50,2.079,0.875,0.375,0,1.386294361,6.15,0.97092,0.737436,0.011415,0.025814,-0.391304,0.016895
7,50,2.197,0.889,0.333,0,1.609437912,5.73,1.09204,0.753889,0.041425,0.093997,2.857143,0.021263
8,50,2.303,0.9,0.3,0,1.791759469,6.08,0.94329,0.811421,0.028839,0.058879,-0.324074,0.017888
1,51,1.609,0.8,0,1,1.098612289,9.75,0.9761,1.309242,0.035032,0.069326,0.405063,0.011073
2,51,1.609,0.8,0,1,1.098612289,10.75,0.96787,1.192064,0.029685,0.058026,-0.171171,0.012554
3,51,2.079,0.875,0,1,1.098612289,7.49,0.91791,0.98756,0.034067,0.066606,0.521739,0.009876
4,51,2.079,0.875,0,1,1.609437912,8.49,0.95526,0.993012,0.040749,0.080595,0.078571,0.009532
5,51,2.197,0.889,0.111,1,1.609437912,8.53,0.90913,0.691394,0.010836,0.020477,-0.754967,0.011468
6,51,2.303,0.9,0.2,1,1.609437912,7.58,0.95206,0.695868,0.022964,0.040134,0.810811,0.010415
7,51,2.079,0.875,0.375,1,1.386294361,6.66,1.02644,0.708523,-0.018951,-0.033366,0,0.009564
8,51,2.079,0.875,0.375,1,1.386294361,8.23,1.01471,0.755724,-0.01325,-0.024116,0.346154,0.009678
1,52,2.398,0.727,0.091,1,1.386294361,11.69,1.02234,4.276437,0.060825,0.38469,0.324324,0.028234
2,52,2.398,0.727,0.182,1,1.098612289,11.33,1.04474,4.50737,0.059638,0.42186,-0.001701,0.02651
3,52,2.485,0.75,0.167,1,1.386294361,11.32,1.0739,5.561324,0.061488,0.491258,0.063032,0.025436
4,52,2.565,0.769,0.231,1,1.609437912,11.44,1.1362,5.787148,0.077531,0.705973,0.261218,0.025856
5,52,2.565,0.769,0.231,1,1.609437912,12.44,1.06384,7.884213,0.067883,0.730666,-0.134689,0.02384
6,52,2.565,0.769,0.231,1,1.609437912,13.44,0.9901,7.445894,0.033705,0.404372,-0.472834,0.017191
7,52,2.639,0.786,0.286,1,1.609437912,13.42,1.02378,5.869022,0.065621,0.710714,0.905292,0.024561
8,52,2.639,0.786,0.286,1,1.609437912,14.42,1.052,6.657679,0.064069,0.665453,-0.046784,0.020697
1,53,1.946,0.857,0,1,1.098612289,3.71,0.8932,1.142671,-0.01551,-0.054828,-1.079904,0.013011
2,53,1.946,0.857,0,1,1.098612289,4.71,0.84609,0.971144,0.016888,0.025855,0,0.014739
3,53,1.946,0.857,0,1,1.386294361,5.71,0.90271,0.832288,0.012846,0.020162,-0.172414,0.015362
4,53,2.079,0.875,0.125,1,1.386294361,5.98,0.96198,0.794132,0.032137,0.061416,2.333333,0.013045
5,53,2.079,0.875,0.125,1,1.386294361,6.98,0.95068,0.703079,0.013563,0.023686,-0.5625,0.01547
6,53,2.197,0.889,0.222,1,1.609437912,7.2,0.91375,0.62474,0.045645,0.08076,2.771429,0.014931
7,53,2.197,0.889,0.222,1,1.609437912,8.2,0.86252,0.663419,0.036545,0.063854,-0.128788,0.01904
8,53,2.303,0.9,0.2,0,1.609437912,8.33,0.90201,0.73272,0.029676,0.053661,-0.130435,0.013891
1,54,2.303,0.8,0.1,1,1.098612289,11.98,1.09368,1.442713,0.043668,0.125548,3.736906,0.016267
2,54,1.946,0.857,0.143,1,1.098612289,14.67,1.12518,1.280289,0.006231,0.00965,-0.894446,0.015774
3,54,1.946,0.714,0.286,1,1.098612289,12.64,0.99737,1.137613,0.012812,0.026965,2.148148,0.017835
4,54,1.946,0.714,0.286,1,1.386294361,13.64,1.02787,0.956084,0.017426,0.036947,0.517647,0.01846
5,54,1.946,0.714,0.286,1,1.386294361,14.64,0.98233,0.865204,0.0231,0.046276,0.395349,0.023031
6,54,1.946,0.714,0.286,1,1.386294361,15.64,0.9288,0.801436,0.014577,0.028168,-0.255556,0.019663
7,54,2.079,0.75,0.375,1,1.386294361,14.68,1.04122,0.826415,0.03176,0.062581,1.507463,0.023137
8,54,2.079,0.75,0.375,1,1.386294361,15.68,1.12284,0.909299,0.016548,0.033533,-0.404762,0.015808
1,55,2.197,0.889,0.333,0,1.386294361,11.28,1.04962,0.928191,0.046973,0.121498,1.166667,0.019113
2,55,2.303,0.9,0.3,0,1.609437912,11.14,1.0782,0.849,0.038155,0.097967,-0.161538,0.018728
3,55,2.303,0.9,0.3,0,1.386294361,12.14,1.02378,0.97044,0.015774,0.040455,-0.59633,0.019746
4,55,2.303,0.9,0.3,0,1.386294361,13.14,1.02226,0.910736,0.026301,0.070664,0.681818,0.020449
5,55,2.079,0.875,0.25,0,1.098612289,12.04,1.01768,1.113,0.021324,0.058609,-0.148649,0.020839
6,55,2.197,0.889,0.333,1,1.386294361,11.62,1.06408,1.256934,0.006669,0.018468,-0.68254,0.018518
7,55,2.303,0.9,0.3,1,1.609437912,11.39,1.0594,1.174188,0.014698,0.044261,1.45,0.024559
8,55,2.303,0.9,0.3,1,1.386294361,12.39,1.10074,1.149529,0.00797,0.022146,-0.469388,0.017871
1,57,2.197,0.778,0.111,1,1.098612289,22.38,0.93174,1.274053,0.035953,0.12487,1.29856,0.016352
2,57,2.303,0.8,0.2,1,1.098612289,21.05,0.96285,1.061788,0.04323,0.146015,-0.084857,0.016666
3,57,2.303,0.8,0.2,1,1.098612289,22.05,0.94869,1.699586,0.011903,0.034819,-0.585067,0.016557
4,57,2.303,0.8,0.2,1,1.098612289,23.05,0.90061,1.669645,0.026025,0.109645,1.195652,0.014799
5,57,2.197,0.889,0.222,1,1.098612289,23.14,0.8969,0.96402,0.17751,0.658075,7.0376,0.013751
